show_id,type,Title,Year,title,director,cast,country,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,duration,Gernes,Rotten Tomatoes,date_added,release_year,rating,,,,num_voted_users
s792,Movie,50M2,2021,Felon,Ric Roman Waugh,"Stephen Dorff, Val Kilmer, Harold Perrineau, Marisol Nichols, Anne Archer, Nick Chinlund, Nate Parker, Johnny Lewis, Sam Shepard, Jake Walker, Joey Villasenor, Antonio Leyba, Mike Seal, Richard Caruso, Kevin Wiggins, Larnell Stovall, Mara Holguin, Elton Walker, Brittany Perrineau, Esodie Geiger, Jermaine Washington, Greg Serano, Brian Keith Gamble, Mark Sivertsen, Carrie Fleming, Adam Taylor, Chris Browning, John Koyama, Shawn Prince, Christopher Dempsey, Cynthia Ruffin",United States,18+,7.0/10,1,0,0,0,104 min,"Action & Adventure, Dramas",56/100,1-Dec-16,2014,TV-PG,,,,362912
s538,TV Show,60 Days In,2016,Terrace House: Opening New Doors,,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",Japan,16+,7.7/10,1,1,1,0,6 Seasons,"International TV Shows, Reality TV",62/100,14-Mar-19,2017,TV-14,,,,222403
s3053,TV Show,60 Days In: Narcoland,2019,Because This Is My First Life,,"Lee Min-ki, Jung So-min, Esom, Kim Ga-eun, Park Byung-eun, Kim Min-seok, Moon Hee-kyung, Kim Byung-ok, Kim Sun-young",South Korea,16+,5.9/10,0,1,0,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",42/100,22-May-17,2014,TV-14,,,,381148
s4520,Movie,60 Second Docs,2016,The Kindergarten Teacher,Sara Colangelo,"Maggie Gyllenhaal, Parker Sevak, Gael García Bernal, Michael Chernus, Anna Baryshnikov, Rosa Salazar, Ajay Naidu","United States, Israel, United Kingdom, Canada",,,0,0,1,0,97 min,"Dramas, Independent Movies",19/100,13-Aug-16,2015,TV-PG,,,,326180
s4149,Movie,6ixth Sense,2002,Love Off the Cuff,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng","China, Hong Kong",,5.1/10,0,0,1,0,120 min,"Comedies, Dramas, International Movies",39/100,5-Jun-20,2020,TV-PG,,,,333847
s4123,TV Show,7 Day Barre Challenge,2019,One Day at a Time,,"Justina Machado, Rita Moreno, Todd Grinnell, Isabella Gomez, Marcel Ruiz, Stephen Tobolowsky",United States,,,0,0,1,0,3 Seasons,TV Comedies,40/100,23-Aug-19,2019,TV-PG,,,,62836
s3775,TV Show,7 Deadly Sins,2014,Black Mirror,,"Jesse Plemons, Cristin Milioti, Jimmi Simpson, Rosemarie DeWitt, Douglas Hodge, Andrea Riseborough, Brenna Harding, Owen Teague, Andrew Gower, Kiran Sonia Sawar, Georgina Campbell, Joe Cole, Maxine Peake, Jake Davies, Clint Dyer, Letitia Wright, Babs Olusanmokun, Bryce Dallas Howard, Alice Eve, Michael Kelly, Cherry Jones, Gugu Mbatha-Raw, Mackenzie Davis, Wyatt Russell, Benedict Wong, Kelly Macdonald, Faye Marsay, Madeline Brewer, Hannah John-Kamen, Malachi Kirby, Alex Lawther, Jerome Flynn, James Norton, Rory Kinnear, Lindsay Duncan, Daniel Kaluuya, Jessica Brown Findlay, Rupert Everett, Toby Kebbell, Jodie Whittaker, Hayley Atwell, Domhnall Gleeson, Lenora Crichlow, Michael Smiley, Daniel Rigby, Chloe Pirrie, Jason Flemyng, Jon Hamm, Oona Chaplin, Rafe Spall",United Kingdom,18+,7.1/10,0,0,1,0,5 Seasons,"British TV Shows, International TV Shows, TV Dramas",52/100,13-Jan-19,2014,TV-14,,,,273556
s1516,Movie,72 Cutest Animals,2016,Guest House,Sam Macaroni,"Pauly Shore, Mike Castle, Aimee Teegarden, Billy Zane, Charlotte McKinney, Louis Ferrigno,  Jr., Erik Griffin, Bobby Lee, Punkie Johnson, Mikaela Hoover, Chris Kattan, Steve-O",United States,,5.8/10,1,0,0,0,84 min,Comedies,42/100,7-Oct-16,2016,TV-PG,,,,53607
s1379,Movie,72 Dangerous Animals: Asia,2018,Penguin Bloom,Glendyn Ivin,"Naomi Watts, Andrew Lincoln, Jacki Weaver, Griffin Murray-Johnston, Rachel House, Leeanna Walsman, Lisa Hensley, Felix Cameron, Abe Clifford-Barr","Australia, United States",16+,6.6/10,1,0,0,0,95 min,"Children & Family Movies, Dramas",45/100,26-Jan-17,2017,TV-PG,,,,718837
s1286,TV Show,72 Dangerous Animals: Latin America,2017,Vincenzo,,"Song Joong-ki, Jeon Yeo-been, Ok Taec-yeon, Yoo Jae-myung, Kim Yeo-jin, Kwak Dong-yeon, Cho Han-cheul",South Korea,16+,6.6/10,1,0,0,0,1 Season,"International TV Shows, TV Comedies, TV Dramas",47/100,3-Apr-19,2010,TV-PG,,,,121084
s1468,Movie,72 Dangerous Places to Live,2016,Unknown,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock","United Kingdom, Germany, France, United States",18+,6.2/10,1,0,0,0,113 min,"Action & Adventure, Thrillers",43/100,27-Oct-18,2018,TV-14,,,,283418
s4332,Movie,72 Hours,2013,"Ayotzinapa, el paso de la tortuga",Enrique García Meza,,Mexico,16+,5.9/10,0,0,1,0,73 min,"Documentaries, International Movies",34/100,1-Feb-19,2016,TV-PG,,,,72809
s4541,Movie,73 Questions Answered By Your Favorite Celebs,2014,Eric ldle's What About Dick?,"Eric Idle, Aubrey Powell","Russell Brand, Billy Connolly, Tim Curry, Eric Idle, Eddie Izzard, Jane Leeves, Jim Piddock, Tracey Ullman, Sophie Winkleman",United States,,,0,0,1,0,81 min,"Comedies, Music & Musicals",18/100,1-Nov-19,2006,TV-PG,,,,139593
s923,Movie,7SEEDS,2019,The Clovehitch Killer,Duncan Skiles,"Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty, Brenna Sherman, Lance Chantiles-Wertz, Emma Jones, Jonathan Riggs",United States,18+,6.4/10,1,0,0,0,109 min,"Dramas, Independent Movies, Thrillers",53/100,1-Jan-21,2009,TV-PG,,,,42372
s2545,Movie,7th Heaven,1996,Action Replayy,Vipul Amrutlal Shah,"Akshay Kumar, Aishwarya Rai Bachchan, Om Puri, Kiron Kher, Neha Dhupia, Rannvijay Singh, Aditya Roy Kapur, Sudeepa Singh, Randhir Kapoor, Rajpal Yadav",India,7+,5.2/10,0,1,1,0,129 min,"Children & Family Movies, Comedies, International Movies",58/100,8-May-20,2020,TV-PG,,,,286506
s2510,Movie,90 Day FiancÃ©,2014,Tarek's Situation,Wael Ehsan,"Ahmed Helmy, Nour, Majdi Kamel, Khaled El Sawy, Mais Hamdan, Moataza Abdel Sabour, Youssef Dawood, Youssef Fawzy, Mohamed Sharaf, Osama Munir",Egypt,16+,6.4/10,0,1,0,0,110 min,"Comedies, International Movies, Romantic Movies",59/100,2-Jun-17,2016,TV-Y,,,,148379
s2656,Movie,90 Day FiancÃ©: Before the 90 Days,2017,The Silence of the Marsh,Marc Vigil,"Pedro Alonso, Nacho Fresneda, Carmina Barrios, José �ngel Egido, Àlex Monner, Raúl Prieto, Maite Sandoval, Javier Godino, Luis Zahera, Miguel de Lira",Spain,16+,6.8/10,0,1,0,0,93 min,"International Movies, Thrillers",55/100,23-Aug-20,2019,TV-G,,,,1676169
s2291,Movie,9-1-1: Lone Star,2020,Tanu Weds Manu,Aanand Rai,"Madhavan, Kangana Ranaut, Jimmy Shergill, Deepak Dobriyal, Swara Bhaskar, Eijaz Khan, K.K. Raina, Rajendra Gupta, Ravi Kishan, Navni Parihar",India,16+,6.8/10,0,1,0,0,114 min,"Comedies, Dramas, International Movies",67/100,26-Jul-19,2018,TV-PG,,,,665575
s4193,Movie,999: Killer on the Line?,2016,Revenger,Lee Seung-won,"Bruce Khan, Park Hee-soon, Yoon Jin-seo, Kim In-kwon, Kim Na-yeon, Park Cheol-min, Jeon Soo-jin, Kim Jae-hyun, Choi Je-heon",South Korea,,7.1/10,0,0,1,0,102 min,"Action & Adventure, International Movies",38/100,28-Aug-21,2008,TV-14,,,,114553
s3913,Movie,999: What's Your Emergency?,2012,Generation Iron 3,Vlad Yudin,,United States,,7.3/10,0,0,1,0,95 min,"Documentaries, Sports Movies",46/100,2-Jun-21,2020,TV-PG,,,,696338
s3608,TV Show,A Bit of Fry and Laurie,1989,Dollar,,"Adel Karam, Amel Bouchoucha",Lebanon,16+,8.3/10,0,0,1,0,1 Season,"International TV Shows, TV Dramas",62/100,4-Aug-18,2014,TV-MA,,,,245333
s1460,Movie,A Boy Named Flora A,2017,Mean Girls 2,Melanie Mayron,"Meaghan Martin, Maiara Walsh, Jennifer Stone, Nicole Gale Anderson, Claire Holt, Diego Boneta, Linden Ashby, Rhoda Griffis, Mike Pniewski, Patrick Johnson, Tim Meadows",United States,18+,7.8/10,1,0,0,0,98 min,Comedies,43/100,16-Jul-21,2020,TV-Y,,,,129601
s3349,Movie,A Brief History,2016,The Man Without Gravity,Marco Bonfanti,"Elio Germano, Michela Cescon, Elena Cotta, Silvia D'Amico, Vincent Scarito","Italy, Belgium",,,0,1,0,0,107 min,"Dramas, International Movies",16/100,22-Sep-18,2013,TV-MA,,,,117927
s4699,Movie,A Century of Lionel Legendary Trains,2005,To All the Boys I’ve Loved Before,Susan Johnson,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Andrew Bachelor, Trezzo Mahoro, Madaleine Arthur, Israel Broussard, Emilija Baranac, John Corbett",United States,,,0,0,1,0,100 min,"Comedies, International Movies, Romantic Movies",13/100,15-Aug-17,2013,TV-MA,,,,118992
s4497,Movie,A Century of Science Fiction,2001,Naa Bangaaru Talli,Rajesh Touchriver,"Siddique, Anjali Patil, Lakshmi Menon, Nina Kurup, Rathna Shekar Reddy, Anoop Aravindan",India,,,0,0,1,0,122 min,"Dramas, International Movies",21/100,28-Apr-17,2015,TV-PG,,,,115099
s2659,TV Show,A Certain Scientific Railgun,2009,Bleach,,"Masakazu Morita, Fumiko Orikasa, Yuki Matsuoka, Noriaki Sugiyama, Hiroki Yasumoto, Kentaro Ito, Ryotaro Okiayu",Japan,16+,7.6/10,0,1,0,0,5 Seasons,"Anime Series, International TV Shows",55/100,20-Dec-18,2018,TV-G,,,,431620
